,All,B,DC,Fibroblast,Gliacyte,Intestinal Epithelial,Lymphatic EC,Mast,Mono/Macro,Pericyte,Plasma,SMC,T,Tumor,Vascular EC
MON1B,0.0,0.0,0.0,-0.005152696395435273,-0.0044398907103824015,0.0,-0.00825821238596529,0.0,0.0,0.0,-0.00784958334975899,0.0,0.0,0.0,0.0
CCDC167,0.0,0.0,0.0,-0.0022966959558943715,-0.0044398907103824015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARHGEF16,0.0,0.0,0.0,-0.0003813411634091355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CLNK,0.0,0.0,0.0,-0.0015409032760585369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TAS2R7,0.0,0.0,0.0,-0.00036262582478179103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REC8,0.0,0.0,0.0,-0.0011218982252970528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0007900834560000346,0.0,-0.0049127309769641594,-0.0022981206629551338
PLCXD2,0.0,0.0,0.0,-0.0005938068157705888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CACNA2D4,0.0,0.0,0.0,-0.0006098718191105901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REEP6,0.0,0.0,0.0,-0.0007652146409587708,0.0,0.0,0.0,0.0,0.0,0.0,-0.0021428641712912242,0.0,0.0,0.0,0.0
MYSM1,0.0,0.0,0.0,-0.00436232407589137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CLDN7,0.0,0.0,0.0,-0.002594390730934516,0.0,0.0,0.0,0.004587155963302755,0.015925184739392324,0.0,-0.006459046652870631,0.0,0.0,0.0,0.0
ZMAT1,0.0,0.0,0.0,-0.0010416718273914148,0.0,0.0,-0.004834832401480346,0.0,0.0,-0.0029973913888655885,0.0,-0.0007688983875969942,0.0,0.0,0.0
